Vendor_Customer_Name,GSTIN,Invoice_No,Invoice_Date,Ledger_Type,Invoice_Value,Taxable_Value,CGST_Amount,SGST_Amount,IGST_Amount,Total_Tax,Payment_Status,Payment_Date,TDS_Deducted,Account_Code,Remarks,Upload_Timestamp
Konda-Natt,27MVIHCWI64C1ZI,INV-00011,2025-08-09,Receivable,277595.47,247853.1,14871.18,14871.18,0.0,29742.37,Partial,2025-08-27,0.0,ACC-9233,Pending review,2025-11-01 19:53:42
Khare-Shroff,2923GDPPQ0Y91ZB,INV-00012,2025-03-26,Receivable,385165.89,366824.66,0.0,0.0,18341.23,18341.23,Partial,2025-04-08,3851.66,ACC-9221,Pending review,2025-11-01 19:53:42
Manda PLC,29GQPKI7P5TB4ZA,INV-00013,2024-10-18,Payable,519590.2,463919.82,0.0,0.0,55670.38,55670.38,Unpaid,2024-10-23,5195.9,ACC-7474,,2025-11-01 19:53:42
"Ravel, Deol and Sagar",09RHOCN9J2QP4ZZ,INV-00014,2025-06-12,Payable,427925.68,334316.94,0.0,0.0,93608.74,93608.74,Partial,2025-06-27,4279.26,ACC-2116,,2025-11-01 19:53:42
Sarkar-Mitra,29K8UT0CVS4F4ZC,INV-00015,2024-12-05,Payable,45754.22,43575.45,0.0,0.0,2178.77,2178.77,Partial,2025-01-01,0.0,ACC-5913,Verified,2025-11-01 19:53:42
Bala Inc,09E6IVWPVS7H4ZK,INV-00016,2025-01-01,Payable,156969.24,140151.11,8409.07,8409.07,0.0,16818.13,Paid,2025-01-20,1569.69,ACC-5067,Approved,2025-11-01 19:53:42
Palla Group,09L1CQ99CHJ71ZH,INV-00017,2025-03-09,Payable,191544.09,149643.82,20950.13,20950.13,0.0,41900.27,Paid,2025-04-01,0.0,ACC-4811,Pending review,2025-11-01 19:53:42
"Chand, Varughese and Viswanathan",1993TYT7D5J64ZR,INV-00018,2024-11-19,Receivable,160664.69,143450.62,8607.03,8607.03,0.0,17214.07,Partial,2024-12-03,1606.65,ACC-6598,Pending review,2025-11-01 19:53:42
Rege Group,29Y4SJ6BW3BM1ZU,INV-00019,2025-01-13,Payable,114144.22,89175.17,12484.52,12484.52,0.0,24969.05,Paid,2025-02-12,0.0,ACC-9372,Verified,2025-11-01 19:53:42
"Khalsa, Jhaveri and Barman",19AC56T4UFEL1ZL,INV-00020,2024-12-17,Receivable,361423.31,344212.68,8605.32,8605.32,0.0,17210.63,Unpaid,2025-01-11,3614.23,ACC-1359,Pending review,2025-11-01 19:53:42
Badal-Devi,195OWF75935A4ZK,INV-00021,2025-03-30,Receivable,451466.65,403095.22,24185.72,24185.72,0.0,48371.43,Unpaid,2025-04-24,0.0,ACC-3369,Approved,2025-11-01 19:53:42
Zacharia and Sons,292D54I3QK2I1ZV,INV-00022,2024-12-08,Payable,242193.03,205248.33,0.0,0.0,36944.7,36944.7,Partial,2024-12-12,0.0,ACC-1517,Pending review,2025-11-01 19:53:42
Walla PLC,07MSY4LA5JU91ZD,INV-00023,2025-07-03,Receivable,263064.76,222936.24,20064.26,20064.26,0.0,40128.52,Unpaid,2025-07-04,2630.65,ACC-7822,,2025-11-01 19:53:42
Ghose-Bhat,199E6GBPS3Y74ZV,INV-00024,2024-12-10,Payable,197891.95,188468.52,4711.72,4711.72,0.0,9423.43,Unpaid,2025-01-04,1978.92,ACC-2070,Pending review,2025-11-01 19:53:42
Nath-Varkey,19L4ZKLOOKEP2ZV,INV-00025,2025-09-19,Receivable,533802.17,452374.72,40713.72,40713.72,0.0,81427.45,Partial,2025-10-07,5338.02,ACC-9955,Verified,2025-11-01 19:53:42
Tailor and Sons,194KH2VLPYS24ZF,INV-00026,2025-08-04,Payable,60828.78,51549.81,0.0,0.0,9278.97,9278.97,Unpaid,2025-08-19,608.29,ACC-3383,Verified,2025-11-01 19:53:42
"Aurora, Doshi and Nazareth",29YIHAIR4COW1ZW,INV-00027,2025-08-23,Receivable,253631.3,198149.45,0.0,0.0,55481.85,55481.85,Paid,2025-09-07,0.0,ACC-9470,Verified,2025-11-01 19:53:42
"Hans, Aurora and Setty",29XA11DPG8SB1ZD,INV-00028,2025-04-22,Payable,96430.28,75336.16,10547.06,10547.06,0.0,21094.12,Unpaid,2025-05-12,0.0,ACC-7463,,2025-11-01 19:53:42
"Deo, Iyer and Mahajan",09WZS3T60RJI4ZI,INV-00029,2025-09-28,Receivable,500557.66,391060.67,0.0,0.0,109496.99,109496.99,Partial,2025-10-12,5005.58,ACC-9821,Pending review,2025-11-01 19:53:42
"Tiwari, Parsa and Modi",07PZIM6CFNFH2ZN,INV-00030,2025-02-17,Receivable,353125.71,275879.46,0.0,0.0,77246.25,77246.25,Partial,2025-03-09,3531.26,ACC-6105,,2025-11-01 19:53:42
Shukla LLC,293O18A5UR7K2ZN,INV-00031,2025-06-03,Receivable,421436.6,376282.68,22576.96,22576.96,0.0,45153.92,Partial,2025-07-02,4214.37,ACC-6362,Approved,2025-11-01 19:53:42
"Bhatia, Sura and Majumdar",29JRNY20479T2ZS,INV-00032,2025-06-16,Receivable,351613.37,334869.88,8371.75,8371.75,0.0,16743.49,Unpaid,2025-07-12,3516.13,ACC-2812,Verified,2025-11-01 19:53:42
Hans LLC,295GJLQM5K8P1ZP,INV-00033,2024-09-10,Payable,395872.98,377021.89,9425.55,9425.55,0.0,18851.09,Partial,2024-09-30,3958.73,ACC-1959,,2025-11-01 19:53:42
"Hayre, Dani and Tella",29X2X18HAFEY4ZG,INV-00034,2025-04-27,Receivable,416230.65,352737.84,0.0,0.0,63492.81,63492.81,Paid,2025-05-20,4162.31,ACC-1728,Approved,2025-11-01 19:53:42
Bava-Rana,19V0E38DALY82ZW,INV-00035,2024-12-11,Payable,52906.86,47238.27,0.0,0.0,5668.59,5668.59,Paid,2024-12-27,0.0,ACC-2013,Pending review,2025-11-01 19:53:42
Choudhry-Kalita,2414VE92MPNS2ZA,INV-00036,2025-04-04,Receivable,433589.26,412942.15,10323.56,10323.56,0.0,20647.11,Paid,2025-04-18,0.0,ACC-7730,Pending review,2025-11-01 19:53:42
Srinivasan Group,07W3ZP08J3TR2ZX,INV-00037,2025-07-01,Payable,158495.47,141513.81,0.0,0.0,16981.66,16981.66,Partial,2025-07-20,0.0,ACC-7101,Verified,2025-11-01 19:53:42
Chana-Madan,075IQVNB4GH22ZI,INV-00038,2025-07-03,Receivable,417224.45,353580.04,0.0,0.0,63644.41,63644.41,Unpaid,2025-07-04,0.0,ACC-5933,Pending review,2025-11-01 19:53:42
Majumdar PLC,198DZR1YXR2D1ZM,INV-00039,2025-08-21,Receivable,152479.05,129219.53,11629.76,11629.76,0.0,23259.52,Partial,2025-09-09,0.0,ACC-1769,Approved,2025-11-01 19:53:42
Lanka PLC,19TP0LZJJEGE4ZY,INV-00040,2025-08-20,Receivable,112810.23,100723.42,6043.4,6043.4,0.0,12086.81,Unpaid,2025-09-11,1128.1,ACC-8125,,2025-11-01 19:53:42
Dyal-Mander,0709SKDGIGAT2ZB,INV-00041,2024-09-28,Receivable,314883.4,281145.89,16868.76,16868.76,0.0,33737.51,Unpaid,2024-09-30,0.0,ACC-8140,Approved,2025-11-01 19:53:42
Bath Inc,275UQPGB7R3O1ZS,INV-00042,2025-07-20,Payable,387924.32,346361.0,0.0,0.0,41563.32,41563.32,Paid,2025-08-16,3879.24,ACC-6091,Approved,2025-11-01 19:53:42
"Padmanabhan, Soni and Ramesh",198DIUOVW1N62ZS,INV-00043,2025-04-08,Receivable,167618.14,159636.32,0.0,0.0,7981.82,7981.82,Unpaid,2025-04-24,1676.18,ACC-6569,Verified,2025-11-01 19:53:42
"Bansal, Thaker and Panchal",29WJCITFOYQB2ZW,INV-00044,2025-01-23,Receivable,453713.79,354463.9,0.0,0.0,99249.89,99249.89,Unpaid,2025-02-17,0.0,ACC-4616,Pending review,2025-11-01 19:53:42
"Ramanathan, Mangat and Shankar",24IJ2V2HEIFJ1ZC,INV-00045,2024-10-01,Payable,107736.56,91302.17,8217.19,8217.19,0.0,16434.39,Unpaid,2024-10-06,0.0,ACC-7054,Approved,2025-11-01 19:53:42
"Deo, Narula and Sarin",09EYZ7SRCBPL2ZA,INV-00046,2024-10-17,Receivable,128281.61,122172.96,3054.32,3054.32,0.0,6108.65,Unpaid,2024-11-12,0.0,ACC-4019,,2025-11-01 19:53:42
Patla Group,19B1QX6GVWRD2ZN,INV-00047,2025-02-18,Receivable,175684.48,167318.55,0.0,0.0,8365.93,8365.93,Partial,2025-02-28,0.0,ACC-7496,Approved,2025-11-01 19:53:42
Kumer-Narang,07ORXO1BDJE14ZA,INV-00048,2025-08-03,Receivable,558067.29,435990.07,61038.61,61038.61,0.0,122077.22,Paid,2025-09-02,0.0,ACC-7971,Pending review,2025-11-01 19:53:42
Koshy-Patla,27GN1W1HT7PZ1ZA,INV-00049,2025-07-20,Payable,345348.77,308347.12,0.0,0.0,37001.65,37001.65,Paid,2025-07-26,0.0,ACC-3966,,2025-11-01 19:53:42
"Padmanabhan, Tella and Lal",07TTD96QE3RZ4ZW,INV-00050,2025-01-18,Receivable,273395.55,213590.27,29902.64,29902.64,0.0,59805.28,Unpaid,2025-02-10,2733.96,ACC-6089,,2025-11-01 19:53:42
Dayal Inc,29QFGV0EC14M4ZI,INV-00051,2024-09-02,Payable,175337.5,148591.1,13373.2,13373.2,0.0,26746.4,Unpaid,2024-09-22,0.0,ACC-1454,Verified,2025-11-01 19:53:42
Dhaliwal-Korpal,29QRL1N759IN2ZB,INV-00052,2025-02-10,Payable,479879.07,374905.52,52486.78,52486.78,0.0,104973.55,Paid,2025-02-19,4798.79,ACC-2637,Verified,2025-11-01 19:53:42
Chakraborty LLC,242XF8E8LD4D2ZA,INV-00053,2025-09-05,Receivable,90312.49,80636.15,0.0,0.0,9676.34,9676.34,Partial,2025-10-02,903.12,ACC-9739,,2025-11-01 19:53:42
"Ramesh, Chopra and Ravi",092JWOCLYT8W2ZR,INV-00054,2024-09-19,Payable,350061.76,312555.14,18753.31,18753.31,0.0,37506.62,Paid,2024-10-14,3500.62,ACC-9795,Verified,2025-11-01 19:53:42
"Dugal, Majumdar and Rajagopalan",290PDW5PY6B22ZL,INV-00055,2025-03-11,Payable,247560.91,221036.53,13262.19,13262.19,0.0,26524.38,Unpaid,2025-03-30,2475.61,ACC-7489,,2025-11-01 19:53:42
"Thaman, Ahuja and Deol",19YGGVNYRUIW2ZI,INV-00056,2025-08-08,Receivable,18694.07,14604.74,2044.66,2044.66,0.0,4089.33,Partial,2025-08-13,0.0,ACC-2296,Pending review,2025-11-01 19:53:42
Ranganathan Group,24TC89K8YQK92ZD,INV-00057,2024-12-31,Receivable,232304.84,196868.51,17718.17,17718.17,0.0,35436.33,Unpaid,2025-01-30,2323.05,ACC-1223,Approved,2025-11-01 19:53:42
"Sarin, Soni and Chawla",24K9XJUY0BVR2ZY,INV-00058,2024-12-27,Receivable,362804.98,307461.85,0.0,0.0,55343.13,55343.13,Paid,2025-01-19,0.0,ACC-5310,Pending review,2025-11-01 19:53:42
Bali LLC,24GJ11YEDWB21ZS,INV-00059,2025-03-06,Receivable,387299.1,368856.29,9221.41,9221.41,0.0,18442.81,Paid,2025-03-11,3872.99,ACC-3697,Verified,2025-11-01 19:53:42
Om-Bumb,070GET8T63J32ZZ,INV-00060,2025-01-30,Payable,443460.61,375814.08,0.0,0.0,67646.53,67646.53,Partial,2025-02-08,0.0,ACC-8843,Approved,2025-11-01 19:53:42
Varughese Inc,098F840982N21ZI,INV-00061,2025-06-02,Payable,83259.01,70558.48,6350.27,6350.27,0.0,12700.53,Unpaid,2025-06-14,832.59,ACC-7322,Verified,2025-11-01 19:53:42
"Uppal, Kala and Gandhi",19NWNYQW7LVX4ZO,INV-00062,2025-08-25,Receivable,202333.68,158073.19,0.0,0.0,44260.49,44260.49,Partial,2025-09-06,2023.34,ACC-3765,Approved,2025-11-01 19:53:42
Bandi Group,29BB9EITNN8Z4ZN,INV-00063,2025-06-28,Receivable,418557.24,373711.82,22422.71,22422.71,0.0,44845.42,Partial,2025-07-04,0.0,ACC-3021,Pending review,2025-11-01 19:53:42
Loyal Inc,24DRO8BNP84D4ZL,INV-00064,2025-06-06,Receivable,533160.75,451831.14,0.0,0.0,81329.61,81329.61,Unpaid,2025-06-18,5331.61,ACC-5396,Verified,2025-11-01 19:53:42
"Doshi, Krishnan and Kale",09J883DHX8BM1ZZ,INV-00065,2025-06-17,Payable,123816.82,110550.73,0.0,0.0,13266.09,13266.09,Partial,2025-07-01,0.0,ACC-7019,Approved,2025-11-01 19:53:42
"Aurora, Taneja and Dara",29LF6A4FEJGX1ZE,INV-00066,2024-09-08,Receivable,207803.37,185538.72,11132.33,11132.33,0.0,22264.65,Unpaid,2024-10-02,0.0,ACC-4224,Verified,2025-11-01 19:53:42
Goda-Solanki,27GB0S0R2SDS4ZB,INV-00067,2025-09-08,Payable,464661.85,393781.23,35440.31,35440.31,0.0,70880.62,Paid,2025-09-15,0.0,ACC-8331,Approved,2025-11-01 19:53:42
Krishnamurthy-Chowdhury,248CROYR6CCV1ZE,INV-00068,2025-01-19,Receivable,372780.37,315915.57,28432.4,28432.4,0.0,56864.8,Partial,2025-02-08,3727.8,ACC-2390,,2025-11-01 19:53:42
Issac LLC,19TQVDZ4X1ZH2ZH,INV-00069,2025-03-31,Receivable,225377.91,176076.49,24650.71,24650.71,0.0,49301.42,Unpaid,2025-04-25,0.0,ACC-5808,Pending review,2025-11-01 19:53:42
Bhat and Sons,090LLJ8YRDDP4ZX,INV-00070,2025-03-10,Receivable,428155.3,407766.95,10194.17,10194.17,0.0,20388.35,Paid,2025-03-11,0.0,ACC-9829,,2025-11-01 19:53:42
Ram Group,24EMX15Z8VMU1ZE,INV-00071,2025-08-03,Payable,258586.44,246272.8,6156.82,6156.82,0.0,12313.64,Paid,2025-09-01,0.0,ACC-1206,Verified,2025-11-01 19:53:42
"Morar, Raman and Dora",19N1U3493WXA4ZW,INV-00072,2025-01-15,Payable,28540.73,24187.06,2176.84,2176.84,0.0,4353.67,Partial,2025-02-10,0.0,ACC-5045,Verified,2025-11-01 19:53:42
"Ray, Chad and Parmer",07MGFXC08DTN2ZK,INV-00073,2024-11-20,Receivable,225764.7,191326.02,0.0,0.0,34438.68,34438.68,Unpaid,2024-12-13,2257.65,ACC-1543,,2025-11-01 19:53:42
Ramesh Inc,27F1BCPPVOHS2ZN,INV-00074,2024-10-27,Payable,190452.19,148790.77,20830.71,20830.71,0.0,41661.42,Unpaid,2024-11-20,1904.52,ACC-3372,Approved,2025-11-01 19:53:42
Tandon-Ravi,27H9BH811KER2ZF,INV-00075,2024-11-06,Payable,219857.85,196301.65,11778.1,11778.1,0.0,23556.2,Unpaid,2024-12-04,0.0,ACC-6006,Verified,2025-11-01 19:53:42
Lanka-Atwal,27O0PQCLPOXK2ZA,INV-00076,2025-02-14,Payable,120598.86,94217.86,13190.5,13190.5,0.0,26381.0,Partial,2025-03-12,1205.99,ACC-2701,Verified,2025-11-01 19:53:42
Iyengar Group,27PDPOC50H2C4ZD,INV-00077,2025-05-30,Receivable,306654.28,259876.51,23388.88,23388.88,0.0,46777.77,Unpaid,2025-06-15,3066.54,ACC-9424,Verified,2025-11-01 19:53:42
Karan-Garde,248XFDJGF1C84ZP,INV-00078,2025-04-26,Receivable,485988.42,379678.45,53154.99,53154.99,0.0,106309.97,Unpaid,2025-05-02,0.0,ACC-5167,Approved,2025-11-01 19:53:42
Misra-Kara,24LPQW2VMCQB2ZJ,INV-00079,2024-10-10,Receivable,342180.9,325886.57,8147.16,8147.16,0.0,16294.33,Unpaid,2024-10-24,0.0,ACC-9711,Pending review,2025-11-01 19:53:42
Reddy PLC,09U80B6UGVS82ZD,INV-00080,2025-02-23,Receivable,515937.38,491368.93,0.0,0.0,24568.45,24568.45,Partial,2025-02-26,0.0,ACC-4562,,2025-11-01 19:53:42
Mani Group,27IPPSFNKOMV4ZU,INV-00081,2025-02-19,Payable,44411.65,42296.81,1057.42,1057.42,0.0,2114.84,Paid,2025-03-12,444.12,ACC-6251,Pending review,2025-11-01 19:53:42
Sandal PLC,07J48VFCX7LX4ZM,INV-00082,2024-11-06,Payable,316648.71,301570.2,7539.26,7539.26,0.0,15078.51,Paid,2024-11-24,0.0,ACC-9230,Approved,2025-11-01 19:53:42
Bhalla PLC,19N23Y30YSXP2ZA,INV-00083,2025-03-05,Receivable,180705.69,161344.37,9680.66,9680.66,0.0,19361.32,Partial,2025-03-24,1807.06,ACC-9645,Pending review,2025-11-01 19:53:42
Bajaj LLC,09G9FK2ST0SX4ZE,INV-00084,2025-07-03,Payable,217943.87,194592.74,0.0,0.0,23351.13,23351.13,Unpaid,2025-07-14,0.0,ACC-3176,,2025-11-01 19:53:42
"Borde, Nazareth and Solanki",2413FPOYIPK02ZH,INV-00085,2025-06-01,Payable,162806.48,127192.56,0.0,0.0,35613.92,35613.92,Unpaid,2025-06-28,0.0,ACC-3253,Approved,2025-11-01 19:53:42
Choudhary Group,07YUP12SPFHV2ZB,INV-00086,2025-07-26,Receivable,289677.52,245489.42,0.0,0.0,44188.1,44188.1,Paid,2025-07-28,2896.78,ACC-9854,,2025-11-01 19:53:42
Kara Group,2444K1J6FP8H2ZL,INV-00087,2024-09-14,Receivable,273023.33,213299.48,29861.92,29861.92,0.0,59723.85,Paid,2024-09-23,0.0,ACC-4337,Pending review,2025-11-01 19:53:42
"De, Dave and Rao",29NCILDZMFB72ZW,INV-00088,2024-11-11,Receivable,488745.18,381832.17,53456.5,53456.5,0.0,106913.01,Paid,2024-11-28,0.0,ACC-2690,Pending review,2025-11-01 19:53:42
Koshy-Karpe,19ACJ4T0SEKK1ZH,INV-00089,2025-04-03,Payable,413550.53,323086.35,0.0,0.0,90464.18,90464.18,Partial,2025-04-25,4135.51,ACC-1492,,2025-11-01 19:53:42
"Mohan, Keer and Contractor",274RTWUZKAMU1ZV,INV-00090,2025-08-09,Payable,61301.99,51950.84,0.0,0.0,9351.15,9351.15,Partial,2025-08-16,613.02,ACC-9471,Verified,2025-11-01 19:53:42
Zachariah LLC,19T2SA5BNN0M1ZL,INV-00091,2025-01-02,Payable,387598.16,369141.1,9228.53,9228.53,0.0,18457.06,Paid,2025-01-07,0.0,ACC-2916,Verified,2025-11-01 19:53:42
Wable Group,29BT3G2QZW3C2ZB,INV-00092,2025-01-29,Payable,121833.14,108779.59,0.0,0.0,13053.55,13053.55,Paid,2025-02-04,1218.33,ACC-1266,Verified,2025-11-01 19:53:42
Pall LLC,077S9TJ1GM252ZI,INV-00093,2024-11-03,Receivable,514147.56,401677.78,56234.89,56234.89,0.0,112469.78,Unpaid,2024-11-17,0.0,ACC-1742,Verified,2025-11-01 19:53:42
Nagar-Khatri,24P8MGYN2JCP2ZT,INV-00094,2024-12-02,Receivable,327193.29,277282.45,0.0,0.0,49910.84,49910.84,Partial,2024-12-15,0.0,ACC-9974,Verified,2025-11-01 19:53:42
"Sunder, Ganesh and Rama",27LKQZFPQ06W2ZI,INV-00095,2025-07-25,Receivable,514724.04,490213.37,0.0,0.0,24510.67,24510.67,Paid,2025-08-06,0.0,ACC-2522,Approved,2025-11-01 19:53:42
Choudhry-Iyengar,24WN2Y8FV2BC4ZL,INV-00096,2025-03-05,Payable,207478.59,197598.66,0.0,0.0,9879.93,9879.93,Partial,2025-03-13,2074.79,ACC-5740,Approved,2025-11-01 19:53:42
Puri Inc,24QNPCENLK8A1ZP,INV-00097,2025-05-24,Payable,209605.01,199623.82,4990.6,4990.6,0.0,9981.19,Partial,2025-05-27,2096.05,ACC-1776,,2025-11-01 19:53:42
Madan Inc,07ZHWY9HECGZ1ZZ,INV-00098,2025-08-16,Receivable,571243.91,484105.01,43569.45,43569.45,0.0,87138.9,Unpaid,2025-09-11,5712.44,ACC-3265,Pending review,2025-11-01 19:53:42
"Dutta, Gala and Doctor",24CT64Z7W2SE1ZZ,INV-00099,2024-11-11,Receivable,161280.93,126000.73,0.0,0.0,35280.2,35280.2,Unpaid,2024-11-25,1612.81,ACC-6183,Verified,2025-11-01 19:53:42
Jayaraman-Pillai,07TN2TWDL9ZS2ZS,INV-00100,2024-10-08,Payable,84263.94,71410.12,0.0,0.0,12853.82,12853.82,Paid,2024-10-15,842.64,ACC-1276,,2025-11-01 19:53:42
"Khalsa, Konda and Upadhyay",09QSE3TV1ES51ZQ,INV-00101,2024-11-18,Receivable,178103.55,159021.03,9541.26,9541.26,0.0,19082.52,Paid,2024-11-19,0.0,ACC-5570,Approved,2025-11-01 19:53:42
"Pant, Jani and Dutt",24I8SKCH8JWW1ZQ,INV-00102,2025-07-26,Receivable,103747.38,92631.59,0.0,0.0,11115.79,11115.79,Unpaid,2025-08-22,0.0,ACC-1320,Verified,2025-11-01 19:53:42
"Raja, Sehgal and Dhillon",24W6M7B5C81J1ZY,INV-00103,2025-06-20,Receivable,224833.9,214127.52,5353.19,5353.19,0.0,10706.38,Unpaid,2025-07-19,2248.34,ACC-7915,Approved,2025-11-01 19:53:42
Savant-Contractor,24TXKI3OQYFO2ZG,INV-00104,2025-02-22,Payable,362570.97,307263.53,27653.72,27653.72,0.0,55307.44,Paid,2025-02-23,3625.71,ACC-7438,Approved,2025-11-01 19:53:42
Chowdhury LLC,249MO1SDIEQF1ZJ,INV-00105,2025-03-16,Receivable,554803.57,433440.29,0.0,0.0,121363.28,121363.28,Paid,2025-04-08,0.0,ACC-4683,Approved,2025-11-01 19:53:42
"Divan, Nagi and Gola",2937ZGF9Q5RD2ZQ,INV-00106,2025-04-23,Payable,541717.62,483676.45,29020.58,29020.58,0.0,58041.17,Unpaid,2025-05-11,0.0,ACC-7534,Approved,2025-11-01 19:53:42
"Radhakrishnan, Sahni and Chana",27BR5XQT4P502ZL,INV-00107,2024-09-24,Receivable,231039.19,206284.99,12377.1,12377.1,0.0,24754.2,Paid,2024-10-11,2310.39,ACC-7017,Pending review,2025-11-01 19:53:42
Korpal Ltd,19KNQT3WVEDN2ZR,INV-00108,2025-03-07,Receivable,425524.88,379932.93,22795.97,22795.97,0.0,45591.95,Unpaid,2025-03-25,0.0,ACC-3307,,2025-11-01 19:53:42
Din-Sankar,19BBZ2SF6F7L2ZT,INV-00109,2025-09-14,Receivable,498992.43,422874.94,38058.75,38058.75,0.0,76117.49,Paid,2025-09-27,4989.92,ACC-1252,Pending review,2025-11-01 19:53:42
"Menon, Bir and Bhakta",24URALDOL65W4ZP,INV-00110,2025-01-14,Receivable,541928.4,483864.64,0.0,0.0,58063.76,58063.76,Partial,2025-02-01,5419.28,ACC-2938,,2025-11-01 19:53:42
Rajagopal Group,19RSZ1N3IUZG2ZK,INV-00111,2025-04-03,Receivable,94305.48,84201.32,5052.08,5052.08,0.0,10104.16,Partial,2025-04-06,0.0,ACC-7078,,2025-11-01 19:53:42
"Jaggi, Agrawal and Lata",191750CEHLXS2ZF,INV-00112,2025-04-24,Payable,539190.19,456940.84,41124.68,41124.68,0.0,82249.35,Unpaid,2025-05-09,5391.9,ACC-8446,,2025-11-01 19:53:42
Dhar LLC,241ZXYVGIUI92ZY,INV-00113,2025-01-26,Payable,454913.87,355401.46,49756.21,49756.21,0.0,99512.41,Partial,2025-02-15,0.0,ACC-1364,Verified,2025-11-01 19:53:42
Soman-Sodhi,09M72JEYN9381ZJ,INV-00114,2024-09-22,Payable,158485.81,150938.87,3773.47,3773.47,0.0,7546.94,Unpaid,2024-10-21,1584.86,ACC-6873,,2025-11-01 19:53:42
"Dhingra, Barad and Patla",09X0H3JUJD0I1ZV,INV-00115,2025-05-30,Payable,135048.6,120579.11,0.0,0.0,14469.49,14469.49,Unpaid,2025-05-31,0.0,ACC-2288,Verified,2025-11-01 19:53:42
Gala Group,27OZD1AT7O752ZU,INV-00116,2024-12-12,Receivable,448867.78,380396.42,34235.68,34235.68,0.0,68471.36,Paid,2024-12-15,4488.68,ACC-6918,Approved,2025-11-01 19:53:42
Bail LLC,07X6DUT076G51ZB,INV-00117,2025-03-23,Receivable,443632.8,396100.71,23766.04,23766.04,0.0,47532.09,Paid,2025-04-07,0.0,ACC-5764,Verified,2025-11-01 19:53:42
Brahmbhatt-Kala,27AUD9K9TR742ZI,INV-00118,2024-12-08,Payable,479456.18,406318.8,0.0,0.0,73137.38,73137.38,Unpaid,2024-12-18,0.0,ACC-4029,Verified,2025-11-01 19:53:42
Chaudhary-Malhotra,24QJG02U1G462ZQ,INV-00119,2025-02-15,Payable,55126.59,52501.51,0.0,0.0,2625.08,2625.08,Partial,2025-03-09,551.27,ACC-3370,Approved,2025-11-01 19:53:42
"Chahal, Zachariah and Radhakrishnan",29R7ANQJLUUJ2ZW,INV-00120,2024-12-30,Payable,42462.97,40440.92,1011.02,1011.02,0.0,2022.05,Partial,2025-01-22,424.63,ACC-3257,,2025-11-01 19:53:42
Bala-Batta,07FY751YW7NH1ZP,INV-00121,2024-11-18,Receivable,274868.67,232939.55,20964.56,20964.56,0.0,41929.12,Paid,2024-11-24,0.0,ACC-8823,Approved,2025-11-01 19:53:42
Vig PLC,24TQTXHI15CQ4ZL,INV-00122,2024-10-10,Payable,482422.41,459449.91,0.0,0.0,22972.5,22972.5,Unpaid,2024-10-12,4824.22,ACC-5330,Approved,2025-11-01 19:53:42
